homograph	selected_wordid	sentence	WHD_IPA_representations	auto-IPA
wound	wound_vrb	And he  he wound up pull	['wuːnd' 'waʊnd']	waʊnd
wound	wound_vrb	We wound up just choosing a another mennonite nursing home that was easier to get into	['wuːnd' 'waʊnd']	waʊnd
wound	wound_vrb	But neither of them wound up going over which I think they were very happy for	['wuːnd' 'waʊnd']	waʊnd
wound	wound_vrb	Wound up in administration	['wuːnd' 'waʊnd']	waʊnd
wound	wound_vrb	We  wound up sending in one	['wuːnd' 'waʊnd']	waʊnd
wound	wound_vrb	But course it s one of these with a twist where it looks like he s the one that wound up killing her	['wuːnd' 'waʊnd']	waʊnd
wound	wound_vrb	But the the interesting thing is that paint we wound up having to go back and scrape some of that away	['wuːnd' 'waʊnd']	waʊnd
wound	wound_vrb	We wound up selling the house	['wuːnd' 'waʊnd']	wund
wound	wound_vrb	I wish uh it had started a long time ago is the problem because we  so wound up in the in the system that we  got that you know trying to convert over	['wuːnd' 'waʊnd']	waʊnd
wound	wound_vrb	And so it kind of wound down	['wuːnd' 'waʊnd']	waʊnd
wound	wound_vrb	And uh our cats wound up getting fleas uh from the apartment that we were in	['wuːnd' 'waʊnd']	waʊnd
