,homograph,simalign_fr,fr-label,en,fr,inter_align
161,live,vivre,live_vrb,"['While', 'you', ',', 'ladies', 'and', 'gentlemen', ',', 'are', 'discussing', 'how', 'the', 'Member', 'States', 'of', 'the', 'European', 'Union', 'can', 'live', 'together', 'more', 'unitedly', 'under', 'a', 'common', 'European', 'roof', ',', 'a', 'few', 'hundred', 'kilometres', 'away', ',', 'in', 'Rambouillet', ',', 'the', 'issue', 'being', 'discussed', 'is', 'whether', 'they', 'can', 'live', 'together', 'under', 'any', 'kind', 'of', 'common', 'roof', '.', '']","['', 'Tandis', 'que', 'vous', 'débattez', ',', 'Mesdames', 'et', 'Messieurs', ',', 'sur', 'la', 'façon', 'dont', 'les', 'États', 'membres', 'de', ""l'"", 'Union', 'européenne', 'pourraient', 'mieux', 'vivre', 'sous', 'le', 'même', 'toit', ',', 'à', 'quelque', 'cent', 'kilomètres', 'de', 'là', ',', 'à', 'Rambouillet', ',', 'on', 'se', 'demande', 'si', ""l'"", 'on', 'peut', 'encore', 'maintenir', 'un', 'toit', 'commun', '.\n']","[(0, 1), (1, 3), (2, 5), (3, 6), (4, 7), (5, 8), (6, 9), (8, 4), (9, 13), (10, 14), (12, 15), (13, 17), (14, 18), (15, 20), (16, 19), (17, 21), (18, 23), (22, 24), (23, 48), (26, 27), (27, 28), (28, 29), (29, 30), (30, 31), (31, 32), (32, 33), (33, 35), (34, 36), (35, 37), (36, 38), (37, 39), (41, 41), (42, 42), (44, 45), (51, 50), (52, 49), (53, 51)]"
162,live,vivre,live_vrb,"['If', 'the', 'EU', 'does', 'not', 'wake', 'up', 'soon', 'and', 'put', 'a', 'stop', 'to', 'the', 'influx', 'of', 'radical', 'Muslims', 'and', 'the', 'immigration', 'and', 'naturalisation', 'of', 'citizens', 'from', 'Islamic', 'countries', ',', 'we', 'will', 'not', 'only', 'be', 'forced', 'to', 'live', 'in', 'permanent', 'fear', 'of', 'terrorist', 'attacks', ';', 'we', 'will', 'soon', 'be', 'strangers', 'in', 'our', 'own', 'country', '.', '']","['', 'Si', ""l'"", 'UE', 'ne', 'se', 'réveille', 'pas', 'bientôt', 'et', 'ne', 'met', 'pas', 'un', 'terme', 'à', ""l'"", 'afflux', 'de', 'musulmans', 'radicaux', 'et', 'à', ""l'"", 'immigration', 'et', 'à', 'la', 'naturalisation', 'des', 'citoyens', 'de', 'pays', 'islamiques', ',', 'nous', 'serons', 'non', 'seulement', 'contraints', 'de', 'vivre', 'dans', 'la', 'peur', 'permanente', ""d'"", 'attentats', 'terroristes', ';', 'nous', 'serons', 'bientôt', 'des', 'étrangers', 'dans', 'notre', 'propre', 'pays', '.\n']","[(0, 1), (1, 2), (2, 3), (3, 4), (5, 6), (6, 6), (7, 8), (8, 9), (9, 11), (10, 13), (11, 14), (12, 15), (13, 16), (14, 17), (15, 18), (17, 19), (18, 21), (19, 27), (20, 24), (21, 25), (22, 28), (23, 29), (24, 30), (25, 31), (26, 33), (27, 32), (28, 34), (29, 35), (31, 37), (32, 38), (33, 36), (34, 39), (35, 40), (36, 41), (37, 42), (38, 45), (39, 44), (40, 46), (41, 48), (43, 49), (44, 50), (46, 52), (47, 51), (48, 54), (49, 55), (50, 56), (51, 57), (52, 58), (53, 59)]"
163,lives,vies,lives_nou,"['The', 'repercussions', 'of', 'these', 'tragic', 'events', 'are', 'huge', 'not', 'only', 'in', 'terms', 'of', 'human', 'lives', ',', 'but', 'also', 'to', 'the', 'economy', '.', '']","['', 'Les', 'répercussions', 'de', 'ces', 'événements', 'tragiques', 'sont', 'considérables', ',', 'non', 'seulement', 'en', 'termes', 'de', 'vies', 'humaines', ',', 'mais', 'également', 'pour', ""l'"", 'économie', '.\n']","[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (5, 5), (6, 7), (7, 8), (8, 10), (9, 11), (10, 12), (11, 13), (12, 14), (13, 16), (14, 15), (15, 17), (16, 18), (17, 19), (18, 20), (19, 21), (20, 22), (21, 23)]"
164,present,présenter,present_vrb,"['Why', 'does', 'it', 'take', 'the', 'Commission', 'so', 'long', 'to', 'present', 'a', 'plan', 'for', 'implementation', 'when', 'they', 'know', 'that', 'every', 'day', '10', '000', 'people', 'are', 'dying', '?', '']","['', 'Pourquoi', 'faut', '-il', 'tant', 'de', 'temps', 'à', 'la', 'Commission', 'pour', 'présenter', 'un', 'plan', 'de', 'mise', 'en', 'uvre', 'alors', ""qu'"", 'elle', 'sait', 'que', '10', '000', 'personnes', 'meurent', 'chaque', 'jour', '?\n']","[(0, 1), (1, 3), (2, 3), (3, 2), (4, 8), (5, 9), (6, 4), (7, 6), (8, 10), (9, 11), (10, 12), (11, 13), (12, 14), (14, 18), (15, 20), (16, 21), (17, 22), (18, 27), (19, 28), (20, 23), (21, 24), (22, 25), (23, 26), (24, 26), (25, 29)]"
165,invite,invite,invite_vrb,"['I', 'would', 'now', 'like', 'to', 'invite', 'the', 'President', 'of', 'the', 'Commission', ',', 'José', 'Manuel', 'Durão', 'Barroso', ',', 'to', 'address', 'the', 'House', '.', '']","['', ""J'"", 'invite', 'à', 'présent', 'le', 'président', 'de', 'la', 'Commission', ',', 'José', 'Manuel', 'Durão', 'Barroso', ',', 'à', 'prendre', 'la', 'parole', '.\n']","[(0, 1), (2, 4), (5, 2), (6, 5), (7, 6), (8, 7), (9, 8), (10, 9), (11, 10), (12, 11), (13, 12), (14, 13), (15, 14), (16, 15), (17, 16), (18, 17), (21, 20)]"
166,lives,vies,lives_nou,"['There', 'are', 'real', 'improvements', 'in', 'reducing', 'poverty', ',', 'getting', 'children', 'into', 'school', ',', 'improving', 'health', 'and', 'saving', 'lives', '.', '']","['', 'Nous', 'observons', 'de', 'véritables', 'améliorations', 'en', 'ce', 'qui', 'concerne', 'la', 'réduction', 'de', 'la', 'pauvreté', ',', 'la', 'scolarisation', 'des', 'enfants', ',', 'la', 'santé', 'et', 'le', 'nombre', 'de', 'vies', 'sauvées', '.\n']","[(0, 1), (1, 2), (2, 4), (3, 5), (4, 6), (5, 11), (6, 14), (7, 15), (8, 17), (9, 19), (12, 20), (14, 22), (15, 23), (17, 27), (18, 29)]"
169,use,utiliser,use_vrb,"['On', 'the', 'one', 'hand', ',', 'in', 'a', 'health', 'report', 'we', 'are', 'trying', 'to', 'figure', 'out', 'how', 'to', 'prise', 'our', 'children', 'from', 'the', 'computers', 'and', 'make', 'them', 'go', 'outside', 'and', 'run', 'around', 'to', 'play', 'and', ',', 'on', 'the', 'other', 'hand', ',', 'we', 'are', 'trying', 'to', 'coax', 'our', 'elderly', 'to', 'sit', 'at', 'the', 'computer', 'and', 'use', 'it', '.', '']","['', ""D'"", 'une', 'part', ',', 'dans', 'un', 'rapport', 'de', 'santé', ',', 'nous', 'essayons', 'de', 'trouver', 'des', 'moyens', ""d'"", 'éloigner', 'nos', 'enfants', 'des', 'ordinateurs', 'et', 'de', 'les', 'faire', 'aller', 'jouer', 'dehors', ',', 'et', ""d'"", 'autre', 'part', ',', 'nous', 'essayons', 'de', 'pousser', 'nos', 'personnes', 'âgées', 'à', ""s'"", 'asseoir', 'devant', 'un', 'ordinateur', 'et', 'à', ""l'"", 'utiliser', '.\n']","[(0, 1), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 9), (8, 7), (11, 12), (12, 13), (13, 14), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (22, 22), (23, 23), (24, 26), (25, 25), (26, 27), (27, 29), (32, 28), (33, 31), (35, 32), (36, 32), (37, 33), (38, 34), (39, 35), (40, 36), (42, 37), (43, 38), (44, 39), (45, 40), (46, 41), (47, 43), (48, 45), (49, 46), (50, 47), (51, 48), (52, 49), (53, 52), (54, 51), (55, 53)]"
170,reading,lecture,reading_en,"['Something', 'to', 'promote', 'books', 'and', 'reading', '.', 'It', 'is', 'like', 'saying', ',', 'we', 'are', 'having', 'a', 'programme', 'to', 'promote', 'seeing', 'or', 'walking', 'or', 'some', 'other', 'function', 'which', 'we', 'actually', 'perform', 'quite', 'normally', 'in', 'the', 'course', 'of', 'a', 'wide', 'variety', 'of', 'activities', 'in', 'our', 'lives', '.', '']","['', 'Un', 'programme', 'visant', 'à', 'promouvoir', 'les', 'livres', 'et', 'la', 'lecture', ',', 'me', 'semblait', 'pouvoir', 'être', 'comparé', 'à', 'un', 'programme', 'sur', 'la', 'vue', ',', 'la', 'marche', 'ou', 'une', 'autre', 'fonction', 'que', 'nous', 'utilisons', 'naturellement', 'pour', 'accomplir', 'un', 'grand', 'nombre', ""d'"", 'activités', 'dans', 'notre', 'vie', '.\n']","[(0, 1), (1, 4), (2, 5), (3, 7), (4, 8), (5, 10), (8, 13), (14, 15), (15, 18), (16, 2), (19, 22), (21, 25), (22, 26), (23, 27), (24, 28), (25, 29), (26, 30), (27, 31), (29, 32), (31, 33), (36, 36), (37, 37), (38, 38), (39, 39), (40, 40), (41, 41), (42, 42), (43, 43), (44, 44)]"
171,present,présentera,present_vrb,"['Next', 'week', 'the', 'Commission', 'will', 'present', 'a', 'strategy', 'document', 'on', 'the', 'European', 'neighbourhood', 'policy', ',', 'together', 'with', 'country', 'reports', 'on', 'this', 'first', 'group', 'of', 'countries', '.', '']","['', 'La', 'semaine', 'prochaine', ',', 'la', 'Commission', 'présentera', 'un', 'document', 'de', 'stratégie', 'sur', 'la', 'politique', 'européenne', 'de', 'voisinage', 'ainsi', 'que', 'les', 'rapports', 'par', 'pays', 'concernant', 'ce', 'premier', 'groupe', 'de', 'pays', '.\n']","[(0, 1), (1, 2), (2, 5), (3, 6), (4, 7), (5, 7), (6, 8), (7, 11), (8, 9), (9, 12), (10, 13), (11, 15), (13, 14), (15, 18), (16, 19), (18, 21), (20, 25), (21, 26), (22, 27), (23, 28), (24, 29), (25, 30)]"
172,live,vivre,live_vrb,"['How', 'can', 'we', 'work', 'and', 'live', 'here', 'in', 'dignity', 'if', 'those', 'who', 'come', 'here', 'to', 'talk', 'and', 'to', 'work', 'for', 'us', 'face', 'life', 'imprisonment', '?', '']","['', 'Comment', 'pouvons', '-nous', 'travailler', 'et', 'vivre', 'ici', 'dans', 'la', 'dignité', 'si', 'ceux', 'qui', 'viennent', 'ici', 'nous', 'parler', 'et', 'travailler', 'pour', 'nous', 'sont', 'menacés', 'd’', 'emprisonnement', 'à', 'vie', '?\n']","[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 10), (9, 11), (10, 12), (11, 13), (12, 14), (13, 15), (15, 17), (16, 18), (18, 19), (19, 20), (20, 21), (21, 22), (22, 27), (23, 25), (24, 28)]"
173,lead,entraîneront,lead_nou-vrb,"['We', 'must', 'not', 'leave', 'the', 'field', 'to', 'its', 'opponents', ',', 'who', 'will', 'lead', 'their', 'countries', 'and', 'peoples', 'into', 'isolation', 'and', 'down', 'a', 'political', 'cul', '-', 'de', '-', 'sac', '.', '']","['', 'Nous', 'ne', 'devons', 'pas', 'laisser', 'le', 'champ', 'libre', 'à', 'ses', 'opposants', ',', 'qui', 'entraîneront', 'leurs', 'pays', 'et', 'leurs', 'peuples', 'dans', 'l’', 'isolement', 'et', 'l’', 'impasse', 'politique', '.\n']","[(0, 1), (1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 9), (7, 10), (8, 11), (9, 12), (10, 13), (11, 14), (12, 14), (13, 15), (14, 16), (15, 17), (16, 19), (17, 20), (18, 22), (19, 23), (21, 21), (22, 26), (28, 27)]"
174,live,vit,live_vrb,"['It', 'is', 'in', 'these', 'countries', 'that', 'half', 'of', 'the', 'world', '’s', 'poorest', 'people', 'live', ',', 'and', 'it', 'is', 'unacceptable', 'to', 'say', 'that', 'these', 'countries', 'do', 'not', 'belong', 'to', 'the', 'poor', 'part', 'of', 'the', 'world', '.', '']","['', 'Dans', 'ces', 'pays', 'vit', 'la', 'moitié', 'de', 'la', 'population', 'la', 'plus', 'pauvre', 'au', 'monde', 'et', 'il', 'est', 'inacceptable', 'de', 'prétendre', 'que', 'ces', 'pays', 'n’', 'appartiennent', 'pas', 'à', 'la', 'frange', 'la', 'plus', 'pauvre', 'du', 'monde', '.\n']","[(2, 1), (3, 2), (4, 3), (6, 6), (7, 7), (8, 8), (10, 24), (11, 11), (11, 12), (12, 9), (13, 4), (15, 15), (16, 16), (17, 17), (18, 18), (19, 19), (20, 20), (21, 21), (22, 22), (23, 23), (25, 26), (26, 25), (27, 27), (28, 28), (29, 32), (32, 33), (33, 34), (34, 35)]"
175,produce,produire,produce_vrb,"['They', 'can', ',', 'and', 'must', ',', 'be', 'encouraged', 'to', 'produce', 'more', 'technologically', 'advanced', 'goods', ',', 'particularly', 'through', 'government', 'procurement', 'rules', ',', 'rather', 'than', 'being', 'penalised', '.', '']","['', 'Elles', 'peuvent', 'et', 'doivent', 'être', 'encouragées', 'à', 'produire', 'des', 'biens', 'technologiquement', 'plus', 'avancés', ',', 'en', 'particulier', 'par', 'les', 'règles', 'des', 'marchés', 'publics', ',', 'plutôt', 'que', ""d'"", 'être', 'pénalisées', '.\n']","[(0, 1), (1, 2), (3, 3), (4, 4), (6, 5), (7, 6), (8, 7), (9, 8), (10, 12), (11, 11), (12, 13), (13, 10), (14, 14), (15, 16), (16, 17), (17, 22), (18, 21), (19, 19), (20, 23), (21, 24), (22, 25), (23, 27), (24, 28), (25, 29)]"
177,present,présentent,present_vrb,"['I', 'therefore', 'consider', 'the', 'conclusions', 'of', 'the', 'rapporteur', ""'s"", 'recommendation', '-', 'according', 'to', 'which', 'the', 'outermost', 'regions', ""'"", 'interests', 'should', 'also', 'be', 'considered', '-', 'to', 'be', 'a', 'contribution', 'of', 'great', 'relevance', ',', 'in', 'that', 'Parliament', 'should', 'consent', 'to', 'the', 'agreements', 'if', 'the', 'Commission', 'and', 'Council', ':', 'present', 'to', 'Parliament', ',', 'as', 'soon', 'as', 'possible', ',', 'an', 'impact', 'assessment', 'on', 'the', 'consequences', 'of', 'the', 'agreements', 'for', 'banana', '-', 'producing', 'developing', 'countries', 'and', 'for', 'the', 'outermost', 'regions', ';', 'implement', 'specific', 'measures', 'aimed', 'at', 'strengthening', 'banana', 'producers', ""'"", 'commercial', 'position', ',', 'and', 'adopt', 'measures', 'to', 'finance', 'a', 'programme', 'in', 'favour', 'of', 'banana', '-', 'producing', 'ACP', 'countries', '.', '']","['', ""J'"", 'estime', 'donc', 'que', 'les', 'conclusions', 'de', 'la', 'recommandation', 'de', 'la', 'rapporteure', '-', 'qui', 'soulignent', 'la', 'nécessité', 'de', 'prendre', 'en', 'considération', 'les', 'intérêts', 'des', 'régions', 'ultrapériphériques', '-', 'sont', ""d'"", 'une', 'grande', 'pertinence', ',', 'au', 'sens', 'où', 'le', 'Parlement', 'devrait', 'approuver', 'ces', 'accords', 'si', 'la', 'Commission', 'et', 'le', 'Conseil', ':', 'présentent', 'au', 'Parlement', ',', 'le', 'plus', 'rapidement', 'possible', ',', 'une', 'évaluation', ""d'"", 'impact', 'portant', 'sur', 'les', 'conséquences', 'de', 'ces', 'accords', 'pour', 'les', 'pays', 'producteurs', 'de', 'bananes', 'et', 'pour', 'les', 'régions', 'ultrapériphériques', ';', 'mettent', 'en', 'œuvre', 'des', 'mesures', 'spécifiques', 'visant', 'à', 'renforcer', 'la', 'position', 'commerciale', 'des', 'producteurs', 'de', 'bananes', 'et', 'adoptent', 'des', 'mesures', 'de', 'financement', ""d'"", 'un', 'programme', 'en', 'faveur', 'des', 'pays', 'ACP', 'producteurs', 'de', 'bananes', '.\n']","[(0, 1), (1, 3), (2, 2), (3, 5), (4, 6), (5, 7), (6, 11), (7, 12), (9, 9), (10, 13), (13, 14), (14, 24), (16, 25), (18, 23), (19, 17), (21, 19), (23, 27), (25, 28), (26, 30), (28, 29), (29, 31), (30, 32), (31, 33), (33, 36), (34, 38), (35, 39), (36, 40), (37, 40), (38, 41), (39, 42), (40, 43), (41, 44), (42, 45), (43, 46), (44, 48), (45, 49), (46, 50), (47, 51), (48, 52), (49, 53), (50, 54), (51, 56), (53, 57), (54, 58), (55, 59), (56, 62), (57, 60), (58, 64), (59, 65), (60, 66), (61, 67), (63, 69), (64, 70), (65, 75), (67, 73), (69, 72), (70, 76), (71, 77), (72, 78), (74, 79), (75, 81), (76, 82), (77, 87), (78, 86), (79, 88), (80, 89), (81, 90), (83, 95), (85, 93), (86, 92), (88, 98), (89, 99), (90, 101), (92, 103), (93, 105), (94, 106), (95, 107), (96, 108), (97, 109), (98, 97), (98, 114), (100, 112), (101, 111), (102, 110), (103, 115)]"
178,present,présente,present_adj-nou,"['The', 'idea', ',', 'present', 'in', 'the', 'European', 'Constitution', ',', 'that', 'this', 'House', 'reinforces', 'the', 'Commission', '’s', 'legitimacy', ',', 'has', 'come', 'into', 'effect', 'even', 'before', 'the', 'Constitution', 'has', 'been', 'ratified', ',', 'something', 'that', 'I', ',', 'as', 'Chairman', 'of', 'the', 'Committee', 'on', 'Constitutional', 'Affairs', ',', 'can', 'only', 'welcome', '.', '']","['', 'L’', 'idée', ',', 'présente', 'dans', 'la', 'Constitution', 'européenne', ',', 'que', 'cette', 'Assemblée', 'renforce', 'la', 'légitimité', 'de', 'la', 'Commission', 's’', 'est', 'matérialisée', 'avant', 'même', 'que', 'la', 'Constitution', 'ne', 'soit', 'ratifiée', '.', 'En', 'tant', 'que', 'président', 'de', 'la', 'commission', 'des', 'affaires', 'constitutionnelles', ',', 'je', 'ne', 'peux', 'que', 'm’', 'en', 'réjouir', '.\n']","[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 8), (7, 7), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 17), (14, 18), (15, 1), (16, 15), (18, 20), (23, 22), (24, 25), (25, 26), (27, 28), (28, 29), (32, 42), (34, 32), (35, 34), (36, 35), (37, 36), (38, 37), (39, 38), (40, 40), (41, 39), (42, 41), (44, 45), (45, 48), (46, 49)]"
179,close,clore,close_vrb,"['On', '29', 'June', ',', 'Chancellor', 'Merkel', 'used', 'this', 'African', 'proverb', 'to', 'close', 'her', 'Presidency', ':', ""'"", 'If', 'you', 'want', 'to', 'go', 'quickly', ',', 'go', 'alone', ',', 'but', 'if', 'you', 'want', 'to', 'go', 'far', ',', 'go', 'together', '.', ""'"", '']","['', 'Le', '29', 'juin', 'dernier', ',', 'la', 'Chancelière', 'a', 'utilisé', 'ce', 'proverbe', 'africain', 'pour', 'clore', 'sa', 'présidence', ':', '""', 'Si', 'tu', 'veux', 'aller', 'vite', ',', 'vas', '-', 'y', 'seul', 'mais', 'si', 'tu', 'veux', 'aller', 'loin', ',', 'alors', 'il', 'faut', 'y', 'aller', 'ensemble', '""', '.\n']","[(0, 1), (1, 2), (2, 3), (3, 5), (4, 6), (6, 9), (7, 10), (8, 12), (9, 11), (10, 13), (11, 14), (12, 15), (13, 16), (14, 17), (15, 18), (16, 19), (17, 20), (18, 21), (20, 22), (21, 23), (22, 24), (24, 28), (25, 35), (26, 29), (27, 30), (28, 31), (29, 32), (31, 33), (32, 34), (34, 40), (35, 41), (36, 43), (37, 42)]"
180,use,utiliser,use_vrb,"['Shannon', 'Airport', 'has', 'been', 'unreasonably', 'treated', 'in', 'this', 'regard', 'and', 'has', 'been', 'the', 'loser', ',', 'because', 'it', 'has', 'now', 'been', 'decided', 'by', 'the', 'American', 'authorities', 'not', 'to', 'use', 'the', 'airport', 'for', 'refuelling', 'purposes', ',', 'at', 'a', 'cost', 'of', 'EUR', '10', '\xa0', 'million', 'to', 'the', 'revenue', 'of', 'that', 'airport', '.', '']","['', 'L’', 'aéroport', 'de', 'Shannon', 'a', 'été', 'indûment', 'traité', 'à', 'cet', 'égard', 'et', 'est', 'le', 'perdant', 'de', 'cette', 'affaire', ',', 'car', 'les', 'autorités', 'américaines', 'ont', 'à', 'présent', 'décidé', 'de', 'ne', 'pas', 'utiliser', 'l’', 'aéroport', 'pour', 'ravitailler', 'leurs', 'avions', 'en', 'carburant', ',', 'au', 'prix', 'de', '10', '\xa0', 'millions', 'd’', 'euros', 'au', 'bénéfice', 'de', 'cet', 'aéroport', '.\n']","[(0, 4), (1, 2), (2, 5), (3, 6), (4, 7), (5, 8), (6, 9), (7, 10), (8, 11), (9, 12), (12, 14), (13, 15), (14, 19), (15, 20), (17, 24), (18, 26), (20, 27), (22, 21), (23, 23), (24, 22), (25, 30), (26, 28), (27, 31), (28, 32), (29, 33), (30, 34), (31, 35), (33, 40), (34, 41), (36, 42), (37, 43), (39, 44), (41, 46), (42, 49), (44, 50), (45, 51), (46, 52), (47, 53), (48, 54)]"
181,live,vivons,live_vrb,"['This', 'does', 'not', 'mean', 'that', 'we', 'disregard', 'the', 'national', 'cultural', 'heritage', ',', 'rather', 'it', 'means', 'creating', 'a', 'wider', 'cultural', 'openness', 'in', 'which', 'we', 'live', 'together', 'beyond', 'the', 'bounds', 'of', 'borders', 'and', 'without', 'hostility', 'having', 'a', 'chance', 'even', 'to', 'arise', '.', '']","['', 'Ceci', 'ne', 'signifie', 'pas', 'que', 'nous', 'nous', 'désintéressons', 'du', 'patrimoine', 'culturel', 'national', ';', 'cela', 'signifie', 'plutôt', 'la', 'création', 'd’', 'une', 'ouverture', 'culturelle', 'plus', 'large', ',', 'dans', 'laquelle', 'nous', 'vivons', 'au-delà', 'des', 'limites', 'posées', 'par', 'les', 'frontières', 'et', 'sans', 'que', 'l’', 'hostilité', 'n’', 'ait', 'la', 'moindre', 'chance', 'de', 'voir', 'le', 'jour', '.\n']","[(0, 1), (1, 2), (2, 4), (3, 3), (4, 5), (5, 6), (6, 8), (7, 9), (8, 12), (9, 11), (10, 10), (11, 13), (12, 16), (14, 15), (15, 18), (16, 20), (18, 22), (19, 21), (20, 26), (21, 27), (22, 28), (23, 29), (25, 30), (26, 31), (27, 32), (29, 36), (30, 37), (31, 38), (32, 41), (33, 43), (34, 44), (35, 46), (37, 47), (38, 50), (39, 51)]"
182,present,actuellement,present_adj-nou,"['Finally', ',', 'the', 'proposal', 'will', 'mean', 'opening', 'up', 'new', 'potential', 'markets', 'for', 'the', 'European', 'industry', ',', 'which', 'is', 'excluded', 'from', 'these', 'markets', 'at', 'present', 'because', 'of', 'the', 'USA', ""'s"", 'dominant', 'position', '.', '']","['', 'La', 'proposition', 'signifiera', 'enfin', ""l'"", 'ouverture', 'de', 'nouvelles', 'opportunités', 'commerciales', 'à', ""l'"", 'industrie', 'européenne', ',', 'qui', 'est', 'actuellement', 'exclue', 'de', 'ce', 'marché', 'en', 'raison', 'de', 'la', 'position', 'prépondérante', 'des', 'États-Unis', '.\n']","[(0, 4), (2, 1), (3, 2), (4, 3), (5, 3), (6, 6), (8, 8), (10, 10), (11, 11), (12, 12), (13, 14), (14, 13), (15, 15), (16, 16), (17, 17), (18, 19), (19, 20), (20, 21), (21, 22), (23, 18), (24, 24), (25, 25), (26, 29), (27, 30), (28, 26), (30, 27), (31, 31)]"
183,produce,faisons,produce_vrb,"['When', 'we', 'produce', 'directives', 'in', 'the', '21st', 'century', ',', 'our', 'aims', 'must', 'be', 'progressive', '.', '']","['', 'Quand', 'nous', 'faisons', 'des', 'directives', 'pour', 'le', 'troisième', 'millénaire', ',', 'il', 'faut', 'que', 'nous', 'nous', 'montrions', 'ambitieux', '.\n']","[(0, 1), (1, 2), (2, 3), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9), (8, 10), (11, 12), (12, 16), (13, 17), (14, 18)]"
184,present,présenter,present_vrb,"['I', 'have', 'therefore', 'set', 'in', 'motion', 'a', 'study', 'which', 'I', 'propose', 'to', 'present', 'to', 'the', 'Council', 'of', 'Ministers', 'and', 'Parliament', 'in', 'the', 'form', 'of', 'a', 'wide', '-', 'ranging', 'report', '.', '']","['', ""J'"", 'ai', 'donc', 'lancé', 'un', 'travail', ""d'"", 'analyse', 'que', 'je', 'compte', 'présenter', 'au', 'Conseil', 'des', 'Ministres', 'et', 'au', 'Parlement', 'sous', 'la', 'forme', ""d'"", 'une', 'communication', 'assez', 'étendue', '.\n']","[(0, 1), (1, 2), (2, 3), (3, 4), (6, 5), (7, 6), (8, 9), (9, 10), (10, 11), (12, 12), (13, 13), (15, 14), (16, 15), (17, 16), (18, 17), (19, 19), (20, 20), (21, 21), (22, 22), (23, 23), (24, 24), (25, 26), (28, 25), (29, 28)]"
185,reading,lecture,reading_en,"['In', 'this', 'second', 'reading', ',', 'Parliament', 'has', 'succeeded', 'in', 'obtaining', 'a', 'budget', 'of', 'EUR', '\xa0', '230', '\xa0', 'million', '.', '']","['', 'Le', 'Parlement', 'a', 'réussi', 'à', 'obtenir', ',', 'dans', 'le', 'cadre', 'de', 'cette', 'deuxième', 'lecture', ',', 'un', 'budget', 'de', '230', 'millions', 'd’', 'euros', '.\n']","[(0, 8), (1, 12), (2, 13), (3, 14), (4, 15), (5, 2), (6, 3), (7, 4), (8, 5), (9, 6), (10, 16), (11, 17), (12, 18), (15, 19), (17, 20), (18, 23)]"
186,lives,vie,lives_nou,"['However', ',', 'we', 'must', 'not', 'forget', 'that', 'some', 'are', 'sent', 'back', ',', 'regardless', 'of', 'the', 'danger', 'and', 'putting', 'their', 'lives', 'at', 'risk', ',', 'as', 'several', 'tragic', 'cases', 'have', 'demonstrated', '.', '']","['', 'Mais', 'il', 'ne', 'faut', 'pas', 'oublier', 'que', 'certains', 'sont', 'renvoyés', ',', 'au', 'mépris', 'du', 'danger', ',', 'au', 'risque', 'de', 'leur', 'vie', ',', 'comme', 'plusieurs', 'cas', 'dramatiques', 'l', '«', 'ont', 'prouvé', '.\n']","[(0, 1), (2, 2), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (11, 11), (12, 12), (13, 19), (14, 14), (15, 15), (18, 20), (19, 21), (21, 18), (22, 22), (23, 23), (24, 24), (25, 26), (26, 25), (27, 29), (28, 30), (29, 31)]"
187,lead,exemple,lead_nou-vrb,"['Is', 'the', 'Commission', 'prepared', 'to', 'take', 'the', 'lead', 'in', 'this', 'issue', 'and', 'contribute', 'significantly', 'to', 'the', 'fund', '?', '']","['', 'Est-elle', 'disposée', 'à', 'montrer', ""l'"", 'exemple', 'en', 'la', 'matière', 'et', 'à', 'apporter', 'une', 'contribution', 'significative', 'à', 'ce', 'fonds', '?\n']","[(0, 1), (1, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7), (10, 9), (11, 10), (12, 12), (13, 15), (14, 16), (15, 17), (16, 18), (17, 19)]"
